Collection_Method,Wait_Time,Storage_Temperature,Quality_Score
Nurse,4.763623921477895,-10.82688035403986,14.979512555507236
Patient,78.83566585321292,-9.086415373766751,-0.16825816745954247
Patient,242.90940841610046,-10.271123601042568,1.5141354754692204
Nurse,5.08550410574232,-12.424240260272942,18.664109058300323
Nurse,10.680524561233126,-10.281327557118214,13.227728524302647
Nurse,9.563651487074186,-11.562545856886542,15.602595766247886
Nurse,10.991610937691075,-11.254289423169249,15.2582254726109
Patient,14.0611854344274,-9.533570017566474,5.709020679784789
Patient,10.85763136207867,-8.835260645542828,3.431601769300576
Patient,24.282296918804995,-9.799430802769058,7.516641178424306
Nurse,4.44637470230006,-9.938320150152029,13.598959459958541
Patient,109.191760510459,-9.823558444722774,1.5268499967526163
Patient,23.864924321661473,-9.913856116953625,3.3386146512334745
Nurse,1.7148485338326938,-9.563440195842333,14.039523053975065
Nurse,2.2671732296834795,-11.009730704709938,16.510504757693393
Nurse,20.671330388034303,-9.979206292324593,11.565663379178769
Nurse,6.743315914894496,-8.625123580851815,10.018713292693782
Nurse,4.955033837279964,-10.482743522182032,13.888418743559834
Nurse,7.856452416068256,-8.37532154153044,9.850847561621496
Nurse,6.5131502525568,-10.291811268915545,12.928203884545907
Patient,132.04064305777842,-10.077837197012801,2.028495012550033
Nurse,36.47232609802159,-9.701247091634313,10.430044874298602
Nurse,5.9704434351892814,-8.851554290803245,10.972922584978145
Nurse,3.5997378049138637,-9.080771065424797,11.546609077238779
Nurse,18.852563288214693,-8.91995193428535,9.679594032632554
Patient,196.5695596375791,-9.932144489472597,3.007803605719406
Nurse,9.415586069396623,-10.846356654990874,14.128571985175782
Nurse,12.366366504663024,-10.33477533210654,12.9527460238015
Nurse,4.5833891352102665,-9.57640093440654,13.661625618109326
Nurse,4.332884744231592,-9.975780543327241,14.191437821489334
Patient,50.4185220599248,-9.547628203750266,1.1297521336982035
Nurse,9.153657705132574,-10.187144265004548,13.652999979245202
Nurse,13.379089804041254,-7.410436357981386,7.516996276787184
Patient,75.62571089582282,-9.805615698422663,2.253306178059617
Patient,76.59132682143564,-10.295401410139029,4.250757085893904
Patient,203.89344635714158,-11.006542565279641,5.657647181601454
Nurse,14.27568204906857,-10.11806852699108,11.516652070807929
Nurse,5.452580628671834,-8.703005453438891,10.698487869275557
Patient,20.09955685295032,-10.504774921228217,8.68939436005536
Nurse,9.71204418759833,-10.238932099169695,13.021085208331359
Nurse,6.074629049053665,-10.922410184498503,15.848387288253639
Nurse,6.289237035826401,-8.782841479174504,11.487501218915904
Nurse,12.172209567605881,-10.431620312718048,13.565950221530418
Patient,53.2929681917973,-10.903701860730129,6.504513497685297
Nurse,4.097922362500134,-8.812320611538436,10.981852470007576
Patient,66.76370909363997,-9.716712128453858,2.5132949977538837
Nurse,9.90804348740251,-10.474903656622525,14.092109061236032
Nurse,3.769755555156164,-9.873620420453587,14.389695180559691
Nurse,4.480946684900634,-10.677744970524852,15.112609528181949
Nurse,8.083224712286347,-9.649369900726441,12.453542475556915
Patient,102.99922547712188,-8.890300158043777,1.3307946928210397
Patient,42.894445643895466,-9.327426298797269,6.937131776622054
Patient,47.81628412808131,-10.974529304670641,8.428487440680374
Patient,48.405761023311065,-12.172669546014037,10.280944774236112
